point
POINT (-61.676840369996874 15.962358653505433)
POINT (-61.72684036999687 16.012358653505434)
POINT (-61.676840369996874 16.012358653505434)
POINT (-61.62684036999688 16.012358653505434)
POINT (-61.72684036999687 16.062358653505434)
POINT (-61.676840369996874 16.062358653505434)
POINT (-61.62684036999688 16.062358653505434)
POINT (-61.57684036999688 16.062358653505434)
POINT (-61.77684036999687 16.112358653505435)
POINT (-61.72684036999687 16.112358653505435)
POINT (-61.676840369996874 16.112358653505435)
POINT (-61.62684036999688 16.112358653505435)
POINT (-61.57684036999688 16.112358653505435)
POINT (-61.77684036999687 16.162358653505436)
POINT (-61.72684036999687 16.162358653505436)
POINT (-61.676840369996874 16.162358653505436)
POINT (-61.62684036999688 16.162358653505436)
POINT (-61.77684036999687 16.212358653505436)
POINT (-61.72684036999687 16.212358653505436)
POINT (-61.676840369996874 16.212358653505436)
POINT (-61.62684036999688 16.212358653505436)
POINT (-61.476840369996886 16.212358653505436)
POINT (-61.42684036999689 16.212358653505436)
POINT (-61.77684036999687 16.262358653505437)
POINT (-61.72684036999687 16.262358653505437)
POINT (-61.676840369996874 16.262358653505437)
POINT (-61.62684036999688 16.262358653505437)
POINT (-61.57684036999688 16.262358653505437)
POINT (-61.52684036999688 16.262358653505437)
POINT (-61.476840369996886 16.262358653505437)
POINT (-61.42684036999689 16.262358653505437)
POINT (-61.37684036999689 16.262358653505437)
POINT (-61.326840369996894 16.262358653505437)
POINT (-61.2768403699969 16.262358653505437)
POINT (-61.2268403699969 16.262358653505437)
POINT (-61.77684036999687 16.312358653505438)
POINT (-61.72684036999687 16.312358653505438)
POINT (-61.676840369996874 16.312358653505438)
POINT (-61.62684036999688 16.312358653505438)
POINT (-61.52684036999688 16.312358653505438)
POINT (-61.476840369996886 16.312358653505438)
POINT (-61.42684036999689 16.312358653505438)
POINT (-61.37684036999689 16.312358653505438)
POINT (-61.326840369996894 16.312358653505438)
POINT (-61.2768403699969 16.312358653505438)
POINT (-61.476840369996886 16.36235865350544)
POINT (-61.42684036999689 16.36235865350544)
POINT (-61.52684036999688 16.41235865350544)
POINT (-61.476840369996886 16.41235865350544)
POINT (-61.42684036999689 16.41235865350544)
POINT (-61.52684036999688 16.46235865350544)
POINT (-61.476840369996886 16.46235865350544)
POINT (-61.42684036999689 16.46235865350544)
