lon,lat
-61.676840369996874,15.962358653505433
-61.72684036999687,16.012358653505434
-61.676840369996874,16.012358653505434
-61.62684036999688,16.012358653505434
-61.72684036999687,16.062358653505434
-61.676840369996874,16.062358653505434
-61.62684036999688,16.062358653505434
-61.57684036999688,16.062358653505434
-61.77684036999687,16.112358653505435
-61.72684036999687,16.112358653505435
-61.676840369996874,16.112358653505435
-61.62684036999688,16.112358653505435
-61.57684036999688,16.112358653505435
-61.77684036999687,16.162358653505436
-61.72684036999687,16.162358653505436
-61.676840369996874,16.162358653505436
-61.62684036999688,16.162358653505436
-61.77684036999687,16.212358653505436
-61.72684036999687,16.212358653505436
-61.676840369996874,16.212358653505436
-61.62684036999688,16.212358653505436
-61.476840369996886,16.212358653505436
-61.42684036999689,16.212358653505436
-61.77684036999687,16.262358653505437
-61.72684036999687,16.262358653505437
-61.676840369996874,16.262358653505437
-61.62684036999688,16.262358653505437
-61.57684036999688,16.262358653505437
-61.52684036999688,16.262358653505437
-61.476840369996886,16.262358653505437
-61.42684036999689,16.262358653505437
-61.37684036999689,16.262358653505437
-61.326840369996894,16.262358653505437
-61.2768403699969,16.262358653505437
-61.2268403699969,16.262358653505437
-61.77684036999687,16.312358653505438
-61.72684036999687,16.312358653505438
-61.676840369996874,16.312358653505438
-61.62684036999688,16.312358653505438
-61.52684036999688,16.312358653505438
-61.476840369996886,16.312358653505438
-61.42684036999689,16.312358653505438
-61.37684036999689,16.312358653505438
-61.326840369996894,16.312358653505438
-61.2768403699969,16.312358653505438
-61.476840369996886,16.36235865350544
-61.42684036999689,16.36235865350544
-61.52684036999688,16.41235865350544
-61.476840369996886,16.41235865350544
-61.42684036999689,16.41235865350544
-61.52684036999688,16.46235865350544
-61.476840369996886,16.46235865350544
-61.42684036999689,16.46235865350544
