point
POINT (-60.837819755453076 14.437026777487016)
POINT (-61.08781975545306 14.487026777487017)
POINT (-61.037819755453064 14.487026777487017)
POINT (-60.98781975545307 14.487026777487017)
POINT (-60.93781975545307 14.487026777487017)
POINT (-60.88781975545307 14.487026777487017)
POINT (-60.837819755453076 14.487026777487017)
POINT (-61.037819755453064 14.537026777487018)
POINT (-60.98781975545307 14.537026777487018)
POINT (-60.93781975545307 14.537026777487018)
POINT (-60.88781975545307 14.537026777487018)
POINT (-60.837819755453076 14.537026777487018)
POINT (-60.98781975545307 14.587026777487019)
POINT (-60.93781975545307 14.587026777487019)
POINT (-60.88781975545307 14.587026777487019)
POINT (-61.08781975545306 14.63702677748702)
POINT (-61.037819755453064 14.63702677748702)
POINT (-60.98781975545307 14.63702677748702)
POINT (-60.93781975545307 14.63702677748702)
POINT (-60.88781975545307 14.63702677748702)
POINT (-61.13781975545306 14.68702677748702)
POINT (-61.08781975545306 14.68702677748702)
POINT (-61.037819755453064 14.68702677748702)
POINT (-60.98781975545307 14.68702677748702)
POINT (-60.93781975545307 14.68702677748702)
POINT (-61.13781975545306 14.73702677748702)
POINT (-61.08781975545306 14.73702677748702)
POINT (-61.037819755453064 14.73702677748702)
POINT (-60.98781975545307 14.73702677748702)
POINT (-60.93781975545307 14.73702677748702)
POINT (-61.187819755453056 14.787026777487021)
POINT (-61.13781975545306 14.787026777487021)
POINT (-61.08781975545306 14.787026777487021)
POINT (-61.037819755453064 14.787026777487021)
POINT (-61.187819755453056 14.837026777487022)
POINT (-61.13781975545306 14.837026777487022)
POINT (-61.08781975545306 14.837026777487022)
